GP,  1.1708, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  0.0000
GP, 45.1422, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  0.0000
GP,  1.1708, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  0.0000
GP, 45.1422, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  0.0000
GP,  8.2116, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  0.5000
GP, 85.5786, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  0.5000
GP,  4.1232, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  0.5000
GP, 84.0377, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  0.5000
GP,  1.8568, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  0.5000
GP, 73.6646, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  0.5000
GP, 14.3632, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  0.6250
GP, 88.9094, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  0.6250
GP,  8.4968, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  0.6250
GP, 87.6672, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  0.6250
GP,  2.9911, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  0.6250
GP, 79.4291, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  0.6250
GP, 24.1626, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  0.7500
GP, 91.2646, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  0.7500
GP, 16.6919, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  0.7500
GP, 90.2018, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  0.7500
GP,  7.4133, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  0.7500
GP, 83.5011, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  0.7500
GP, 46.8193, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  1.0000
GP, 94.1704, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  1.0000
GP, 38.3115, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  1.0000
GP, 93.5678, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  1.0000
GP, 24.6207, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  1.0000
GP, 88.7504, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  1.0000
GP, 65.4759, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  1.2500
GP, 95.8032, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  1.2500
GP, 61.2820, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  1.2500
GP, 95.4676, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  1.2500
GP, 47.8705, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  1.2500
GP, 91.6301, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  1.2500
GP, 79.5663, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  1.5000
GP, 96.8420, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  1.5000
GP, 77.7059, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  1.5000
GP, 96.6239, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  1.5000
